name;amount;bus;profile;tech;type
demand-AT;84824775.8;AT-electricity;demand-AT-profile;demand;demand
demand-BE;121254664.69999999;BE-electricity;demand-BE-profile;demand;demand
demand-CH;77330333.89999999;CH-electricity;demand-CH-profile;demand;demand
demand-CZ;71762716.7;CZ-electricity;demand-CZ-profile;demand;demand
demand-DE;665704866.0;DE-electricity;demand-DE-profile;demand;demand
demand-DK;42667480.199999996;DK-electricity;demand-DK-profile;demand;demand
demand-FR;649446542.0;FR-electricity;demand-FR-profile;demand;demand
demand-LU;7383120.399999999;LU-electricity;demand-LU-profile;demand;demand
demand-NL;160722564.9;NL-electricity;demand-NL-profile;demand;demand
demand-NO;102015206.30000001;NO-electricity;demand-NO-profile;demand;demand
demand-PL;172219885.5;PL-electricity;demand-PL-profile;demand;demand
demand-SE;131556725.5;SE-electricity;demand-SE-profile;demand;demand
