name;bus;capacity;edge_parameters;marginal_cost;tech;type
biomass-AT;AT-electricity;3500.0;{"summed_max": 3500};80;biomass;generator
biomass-BE;BE-electricity;4750.0;{"summed_max": 3500};80;biomass;generator
biomass-CH;CH-electricity;1250.0;{"summed_max": 3500};80;biomass;generator
biomass-CZ;CZ-electricity;5000.0;{"summed_max": 3500};80;biomass;generator
biomass-DE;DE-electricity;27750.0;{"summed_max": 3500};80;biomass;generator
biomass-DK;DK-electricity;3750.0;{"summed_max": 3500};80;biomass;generator
biomass-FR;FR-electricity;28250.0;{"summed_max": 3500};80;biomass;generator
biomass-LU;LU-electricity;0.0;{"summed_max": 3500};80;biomass;generator
biomass-NL;NL-electricity;4000.0;{"summed_max": 3500};80;biomass;generator
biomass-NO;NO-electricity;500.0;{"summed_max": 3500};80;biomass;generator
biomass-PL;PL-electricity;14250.0;{"summed_max": 3500};80;biomass;generator
biomass-SE;SE-electricity;5500.0;{"summed_max": 3500};80;biomass;generator
octg-AT;AT-electricity;1500.0;{};130;octg;generator
octg-BE;BE-electricity;2500.0;{};130;octg;generator
octg-CH;CH-electricity;2000.0;{};130;octg;generator
octg-CZ;CZ-electricity;1750.0;{};130;octg;generator
octg-DE;DE-electricity;13000.0;{};130;octg;generator
octg-DK;DK-electricity;1000.0;{};130;octg;generator
octg-FR;FR-electricity;16000.0;{};130;octg;generator
octg-LU;LU-electricity;250.0;{};130;octg;generator
octg-NL;NL-electricity;3000.0;{};130;octg;generator
octg-NO;NO-electricity;0.0;{};130;octg;generator
octg-PL;PL-electricity;3000.0;{};130;octg;generator
octg-SE;SE-electricity;0.0;{};130;octg;generator
