name;bus;capacity;marginal_cost;type
shortage-LU;LU-electricity;50000;1000;generator
shortage-NL;NL-electricity;50000;1000;generator
shortage-DK;DK-electricity;50000;1000;generator
shortage-SE;SE-electricity;50000;1000;generator
shortage-PL;PL-electricity;50000;1000;generator
shortage-CZ;CZ-electricity;50000;1000;generator
shortage-AT;AT-electricity;50000;1000;generator
shortage-NO;NO-electricity;50000;1000;generator
shortage-BE;BE-electricity;50000;1000;generator
shortage-FR;FR-electricity;50000;1000;generator
shortage-CH;CH-electricity;50000;1000;generator
shortage-DE;DE-electricity;50000;1000;generator
