name;capacity;from_bus;loss;to_bus;type
BE-electricity-DE-electricity;1000.0;BE-electricity;0.03;DE-electricity;connection
BE-electricity-LU-electricity;700.0;BE-electricity;0.03;LU-electricity;connection
BE-electricity-NL-electricity;3500.0;BE-electricity;0.03;NL-electricity;connection
CH-electricity-AT-electricity;2400.0;CH-electricity;0.03;AT-electricity;connection
CZ-electricity-AT-electricity;2100.0;CZ-electricity;0.03;AT-electricity;connection
CZ-electricity-PL-electricity;2100.0;CZ-electricity;0.03;PL-electricity;connection
DE-electricity-AT-electricity;10800.0;DE-electricity;0.03;AT-electricity;connection
DE-electricity-CH-electricity;6000.0;DE-electricity;0.03;CH-electricity;connection
DE-electricity-CZ-electricity;3700.0;DE-electricity;0.03;CZ-electricity;connection
DE-electricity-DK-electricity;3600.0;DE-electricity;0.03;DK-electricity;connection
DE-electricity-NO-electricity;1400.0;DE-electricity;0.03;NO-electricity;connection
DE-electricity-PL-electricity;5100.0;DE-electricity;0.03;PL-electricity;connection
DE-electricity-SE-electricity;1200.0;DE-electricity;0.03;SE-electricity;connection
DK-electricity-NO-electricity;1700.0;DK-electricity;0.03;NO-electricity;connection
DK-electricity-SE-electricity;2440.0;DK-electricity;0.03;SE-electricity;connection
FR-electricity-BE-electricity;4600.0;FR-electricity;0.03;BE-electricity;connection
FR-electricity-CH-electricity;9500.0;FR-electricity;0.03;CH-electricity;connection
FR-electricity-DE-electricity;3900.0;FR-electricity;0.03;DE-electricity;connection
LU-electricity-DE-electricity;2900.0;LU-electricity;0.03;DE-electricity;connection
NL-electricity-DE-electricity;8500.0;NL-electricity;0.03;DE-electricity;connection
NL-electricity-DK-electricity;700.0;NL-electricity;0.03;DK-electricity;connection
NL-electricity-NO-electricity;700.0;NL-electricity;0.03;NO-electricity;connection
NO-electricity-SE-electricity;4098.0;NO-electricity;0.03;SE-electricity;connection
PL-electricity-SE-electricity;600.0;PL-electricity;0.03;SE-electricity;connection
