timeindex;pv-AT-profile;pv-BE-profile;pv-CH-profile;pv-CZ-profile;pv-DE-profile;pv-DK-profile;pv-FR-profile;pv-LU-profile;pv-NL-profile;pv-NO-profile;pv-PL-profile;pv-SE-profile;wind-AT-profile;wind-BE-profile;wind-CH-profile;wind-CZ-profile;wind-DE-profile;wind-DK-profile;wind-FR-profile;wind-LU-profile;wind-NL-profile;wind-NO-profile;wind-PL-profile;wind-SE-profile
2050-01-01T00:00:00Z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.138037;0.147532;0.138037;0.973042;0.834866;0.9546979999999999;0.138037;0.147532;0.34366399999999997;0.988585;0.973042;0.517983
2050-01-01T01:00:00Z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.131324;0.18418099999999998;0.131324;0.9834;0.8373659999999999;0.9490729999999999;0.131324;0.18418099999999998;0.381615;0.9888049999999999;0.9834;0.500154
2050-01-01T02:00:00Z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125225;0.223937;0.125225;0.9838;0.833465;0.9485020000000001;0.125225;0.223937;0.399386;0.98372;0.9838;0.518299
2050-01-01T03:00:00Z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.121644;0.255732;0.121644;0.980246;0.834477;0.950385;0.121644;0.255732;0.41216099999999994;0.97665;0.980246;0.566404
2050-01-01T04:00:00Z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.123529;0.26844;0.123529;0.9780709999999999;0.8325899999999999;0.954528;0.123529;0.26844;0.407344;0.972232;0.9780709999999999;0.6090300000000001
2050-01-01T05:00:00Z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.127054;0.276708;0.127054;0.971417;0.826725;0.9456100000000001;0.127054;0.276708;0.387982;0.96944;0.971417;0.7146239999999999
2050-01-01T06:00:00Z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.130119;0.26844;0.130119;0.9591120000000001;0.8160149999999999;0.9243389999999999;0.130119;0.26844;0.3399;0.965675;0.9591120000000001;0.816079
2050-01-01T07:00:00Z;0.093;0.0;0.056;0.042;0.004;0.0;0.004;0.0;0.0;0.0;0.016;0.0;0.128969;0.243378;0.128969;0.934823;0.7907529999999999;0.895639;0.128969;0.243378;0.288507;0.9642350000000001;0.934823;0.869468
2050-01-01T08:00:00Z;0.244;0.006999999999999999;0.248;0.14800000000000002;0.042;0.063;0.063;0.046;0.005;0.001;0.059;0.008;0.12566300000000002;0.20347300000000001;0.12566300000000002;0.905633;0.759117;0.866455;0.12566300000000002;0.20347300000000001;0.238235;0.959233;0.905633;0.884344
2050-01-01T09:00:00Z;0.365;0.023;0.39;0.239;0.098;0.201;0.152;0.123;0.049;0.021;0.102;0.038;0.119902;0.16960999999999998;0.119902;0.8794719999999999;0.732491;0.834943;0.119902;0.16960999999999998;0.204556;0.9497770000000001;0.8794719999999999;0.8854139999999999
2050-01-01T10:00:00Z;0.426;0.035;0.462;0.308;0.142;0.28600000000000003;0.228;0.172;0.119;0.042;0.133;0.068;0.11150499999999999;0.148345;0.11150499999999999;0.884916;0.715071;0.801198;0.11150499999999999;0.148345;0.182969;0.938248;0.884916;0.8791110000000001
2050-01-01T11:00:00Z;0.433;0.039;0.482;0.315;0.154;0.299;0.273;0.2;0.158;0.047;0.127;0.079;0.10320599999999999;0.148345;0.10320599999999999;0.892452;0.6899029999999999;0.765537;0.10320599999999999;0.148345;0.18831099999999998;0.925458;0.892452;0.870684
2050-01-01T12:00:00Z;0.389;0.036000000000000004;0.447;0.228;0.129;0.243;0.271;0.2;0.152;0.035;0.086;0.059;0.098385;0.157479;0.098385;0.897372;0.675215;0.7150270000000001;0.098385;0.157479;0.204527;0.910708;0.897372;0.861247
2050-01-01T13:00:00Z;0.285;0.025;0.344;0.121;0.081;0.131;0.22;0.149;0.112;0.014;0.033;0.02;0.09575;0.16434100000000001;0.09575;0.8786299999999999;0.668693;0.656845;0.09575;0.16434100000000001;0.226841;0.890026;0.8786299999999999;0.852621
2050-01-01T14:00:00Z;0.125;0.01;0.191;0.025;0.023;0.017;0.132;0.062;0.044;0.0;0.001;0.0;0.094196;0.20248;0.094196;0.859461;0.642031;0.594554;0.094196;0.20248;0.268404;0.866756;0.859461;0.841274
2050-01-01T15:00:00Z;0.002;0.0;0.024;0.0;0.0;0.0;0.034;0.002;0.0;0.0;0.0;0.0;0.10138899999999999;0.251199;0.10138899999999999;0.850517;0.640073;0.5653229999999999;0.10138899999999999;0.251199;0.307869;0.853067;0.850517;0.832309
2050-01-01T16:00:00Z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1223;0.275518;0.1223;0.838317;0.6063649999999999;0.5307930000000001;0.1223;0.275518;0.30790300000000004;0.851986;0.838317;0.816704
2050-01-01T17:00:00Z;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15651400000000001;0.280294;0.15651400000000001;0.82125;0.55286;0.46543999999999996;0.15651400000000001;0.280294;0.28926999999999997;0.8446870000000001;0.82125;0.794564
